id,Unnamed: 0,product,brand,meta_brand,image,category_1,category_2,category_3,category_4
777075,0,153 Kretek Rokok 12 Batang,153,,https://c.alfagift.id/product/1/1_A7770750002167_20220523163323732_base.jpg,Lifestyle,Rokok & Korek,,
777076,1,153 Kretek Rokok Filter 12 Batang,153,,https://c.alfagift.id/product/1/1_A7770760002167_20220523163335483_base.jpg,Lifestyle,Rokok & Korek,,
766703,2,169 Beras Super Premium 5 kg,169,,https://c.alfagift.id/product/1/1_A7667030000974_202104121542525450_base.jpg,Kebutuhan Dapur,Bahan Masakan,Beras,
721275,3,5DAYS Croissant Creamy Chocolate 60 g,5DAYS,"croissant, kue croissant coklat, harga roti croissant, macam2 kue kering, aneka roti",https://c.alfagift.id/product/1/A7212750001006_A7212750001006_20190911105356445_base.jpg,Makanan,"Roti, Selai, & Sereal",Roti & Kue,
768462,4,5DAYS Croissant Cheese 60 g,5DAYS,"croissant, kue croissant coklat, harga roti croissant, macam2 kue kering, aneka roti",https://c.alfagift.id/product/1/1_A7684620001073_20210628133221236_base.jpg,Makanan,"Roti, Selai, & Sereal",Roti & Kue,
721276,5,5DAYS Croissant Sweet Mixed Berries 60 g,5DAYS,"croissant, kue croissant coklat, harga roti croissant, macam2 kue kering, aneka roti",https://c.alfagift.id/product/1/A7212760001006_A7212760001006_20190911105356450_base.jpg,Makanan,"Roti, Selai, & Sereal",Roti & Kue,
784471,6,5DAYS Croissant Sweet Pandan Srikaya 60 g,5DAYS,"croissant, kue croissant coklat, harga roti croissant, macam2 kue kering, aneka roti",https://c.alfagift.id/product/1/1_A7844710002167_20221024080643781_base.jpg,Makanan,"Roti, Selai, & Sereal",Roti & Kue,
784495,7,7+ Cereal Bar Yoghurt Berry 22 g,7+,,https://c.alfagift.id/product/1/1_A7844950002167_20240219134733592_base.jpg,Makanan,Makanan Ringan,Biskuit & Crakers,
784494,8,7+ Cereal Bar Cocoa Chia 22 g,7+,,https://c.alfagift.id/product/1/1_A7844940002167_20240219134751743_base.jpg,Makanan,Makanan Ringan,Cokelat,
765390,9,801 Kerupuk Palembang Keriting 75 g,801,,https://c.alfagift.id/product/1/1_A7634210001001_20210307225004300_base.jpg,Makanan,Makanan Ringan,Keripik & Kerupuk,
619361,10,88 Salep Kulit 6 g,88 SALEP,"jual, beli, alfacart, salep kulit, manfaat salep 88, harga salep 88, kandungan salep 88, salep 88 untuk jerawat",https://c.alfagift.id/product/1/1_A11680619361_20200518163511826_base.jpg,Kebutuhan Kesehatan,Obat-Obatan,Obat Jamur & Gatal,
778218,11,A&W Minuman Soda Rasa Sarsaparila Kaleng 250 ml,A&W,"root beer aw, aw sarsaparilla, minuman bersoda",https://c.alfagift.id/product/1/1_A7782180002167_20220620155927937_base.jpg,Minuman,Minuman Ringan,Minuman Karbonasi,
731661,12,A.T.B Biskuit Marie Susu 180 g,A.T.B,"alfamart, alfacart, a.t.b biskuit marie susu, harga biskuit regal",https://c.alfagift.id/product/1/1_A7316610001001_20200219110245597_base.jpg,Makanan,Makanan Ringan,Biskuit & Crakers,
768321,13,AAA Kopi Bubuk Bag 100 g,AAA,"Jual, Beli, AAA, Harga, Diskon, Harga, Diskon, Promo, Alfacart",https://c.alfagift.id/product/1/1_A7683210001073_20210805135215924_base.jpg,Minuman,Minuman Instan,Kopi & Krimer,
26927,14,ABC Saus Tomat 275 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A09600011557_A09600011557_20231107102837829_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
13715,15,ABC Terasi Udang 20 x 3.8 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A28120001978_A28120001978_20231107102837819_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
774404,16,ABC Sambal Geprek 10 x 18 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7744040002167_A7744040002167_20231107102837848_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
802637,17,ABC Minuman Soya Chocolate 200 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A8026370002167_20231109161516334_base.jpg,Minuman,Produk Olahan Susu,Susu Cair,
772140,18,ABC Minuman Sari Kacang Hijau 3 x 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A7721400002167_20211207103226047_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
14439,19,ABC Squash Delight Sirup Jeruk Florida Botol 450 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A12370002895_A12370002895_20231107102837808_base.jpg,Minuman,Minuman Instan,Sirup,
13921,20,ABC Sardines Saus Ekstra Pedas 155 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002229_A11640002229_20231107102837833_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
13797,21,ABC Sardines Saus Cabai 155 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002085_A11640002085_20231107102837814_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
788376,22,ABC Sarden Siap Goreng Bumbu Serundeng Kaleng 155 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A7883760001042_20221228142341252_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
776516,23,ABC Saus Sambal Asli Pedas Refill 1 kg,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7765160002167_A7765160002167_20231107102837850_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
791047,24,ABC Jus Sirsak 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910470002167_A7910470002167_20231107102837804_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791048,25,ABC Jus Apel 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910480002167_A7910480002167_20231107102837797_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791045,26,ABC Minuman Asam Jawa 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910450002167_A7910450002167_20231107102837806_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791050,27,ABC Jus Mangga 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910500002167_A7910500002167_20231107102837802_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791049,28,ABC Jus Jambu 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910490002167_A7910490002167_20231107102837799_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791046,29,ABC Jus Leci 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910460002167_A7910460002167_20231107102837800_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
791051,30,ABC Jus Jeruk 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7910510002167_A7910510002167_20231107102837794_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
804798,31,ABC Sambal Extreme Pedas Pet 135 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A8047980002167_20240301111818618_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
13922,32,ABC Sardines Saus Ekstra Pedas 425 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002230_A11640002230_20231107102837821_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
13920,33,ABC Sardines Saus Cabai 425 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002228_A11640002228_20231107102837816_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
13951,34,ABC Sardines Saus Tomat 425 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002271_A11640002271_20231107102837781_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
629916,35,ABC Homestyle Sambal Terasi 10 x 18 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A09600048666_20240423110818244_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
790543,36,ABC Sarden Siap Goreng Bumbu Serundeng 400 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A7905430001048_20230214100640436_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
